model,backend,defense,capability,value,delta
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Asst. Resp.,15.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Asst. Resp.,55.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Asst. Resp.,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Asst. Resp.,15.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Asst. Resp.,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Asst. Resp.,15.0,-80.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Asst. Resp.,25.0,-70.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Asst. Resp.,25.0,-75.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Asst. Resp.,15.0,0.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Asst. Resp.,55.0,0.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Asst. Resp.,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Asst. Resp.,15.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Asst. Resp.,55.0,0.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Asst. Resp.,25.0,-70.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Asst. Resp.,85.0,-10.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Asst. Resp.,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Asst. Resp.,15.0,0.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Asst. Resp.,55.0,0.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Asst. Resp.,95.0,0.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Asst. Resp.,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Dis. Send,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Dis. Send,100.0,0.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Dis. Send,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Dis. Send,0.0,-100.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Dis. Send,0.0,-100.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Dis. Send,0.0,-100.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Dis. Send,0.0,-100.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Dis. Send,0.0,-100.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Long Mem.,65.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Long Mem.,90.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Long Mem.,100.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Long Mem.,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Long Mem.,60.0,-30.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Long Mem.,100.0,0.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Long Mem.,65.0,0.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Long Mem.,75.0,-15.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Long Mem.,100.0,0.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Long Mem.,60.0,-5.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Long Mem.,85.0,-5.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Long Mem.,100.0,0.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Long Mem.,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Long Mem.,65.0,0.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Long Mem.,80.0,-10.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Long Mem.,100.0,0.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Long Mem.,0.0,0.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Mem. Only,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Mem. Only,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Mem. Only,95.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Mem. Only,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Mem. Only,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Mem. Only,85.0,-10.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Mem. Only,5.0,5.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Mem. Only,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Mem. Only,90.0,-5.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Mem. Only,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Mem. Only,50.0,-30.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Mem. Only,95.0,0.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Mem. Only,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Mem. Only,5.0,5.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Mem. Only,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Mem. Only,95.0,0.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Mem. Only,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Mem. Tools,10.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Mem. Tools,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Mem. Tools,25.0,15.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Mem. Tools,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Mem. Tools,5.0,-5.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Mem. Tools,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,Context,No Untrusted Write,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,Limit Memory Length,Mem. Tools,25.0,15.0
Gemini 3.1 Pro Preview,Explicit,Limit Memory Length,Mem. Tools,65.0,-15.0
Gemini 3.1 Pro Preview,Mem0,Limit Memory Length,Mem. Tools,95.0,-5.0
Gemini 3.1 Pro Preview,RAG,Limit Memory Length,Mem. Tools,70.0,-30.0
Gemini 3.1 Pro Preview,Context,Limit Memory Length,Mem. Tools,,
Gemini 3.1 Pro Preview,No Mem.,Provable Policy,Mem. Tools,0.0,-10.0
Gemini 3.1 Pro Preview,Explicit,Provable Policy,Mem. Tools,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,Provable Policy,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,RAG,Provable Policy,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,Context,Provable Policy,Mem. Tools,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,None (Baseline),Untr. Probe,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,None (Baseline),Untr. Probe,80.0,0.0
Gemini 3.1 Pro Preview,Mem0,None (Baseline),Untr. Probe,95.0,0.0
Gemini 3.1 Pro Preview,RAG,None (Baseline),Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,Context,None (Baseline),Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,User Prompt Only,Untr. Probe,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,User Prompt Only,Untr. Probe,,
Gemini 3.1 Pro Preview,Mem0,User Prompt Only,Untr. Probe,85.0,-10.0
Gemini 3.1 Pro Preview,RAG,User Prompt Only,Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,Context,User Prompt Only,Untr. Probe,100.0,0.0
Gemini 3.1 Pro Preview,No Mem.,No Untrusted Write,Untr. Probe,0.0,0.0
Gemini 3.1 Pro Preview,Explicit,No Untrusted Write,Untr. Probe,0.0,-80.0
Gemini 3.1 Pro Preview,Mem0,No Untrusted Write,Untr. Probe,0.0,-95.0
Gemini 3.1 Pro Preview,RAG,No Untrusted Write,Untr. Probe,0.0,-100.0
